metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/series,metadata/variant,metadata/last_manually_spec_verified_at,supported_motherboard_form_factors/0,supported_motherboard_form_factors/1,supported_motherboard_form_factors/2,form_factor,color/0,power_supply,side_panel,has_transparent_side_panel,front_panel_usb,max_video_card_length,max_cpu_cooler_height,internal_3_5_bays,internal_2_5_bays,expansion_slots,dimensions,volume,weight,front_usb_ports/0,dimensions_mm/width,dimensions_mm/height,dimensions_mm/depth,color/1,metadata/part_numbers/1,front_usb_ports/1,supported_motherboard_form_factors/3,power_supply_shroud,riser_expansion_slots,metadata/part_numbers/2,front_usb_ports/2,supported_power_supply_form_factors/0,metadata/releaseYear,supports_rear_connecting_motherboard,metadata/part_numbers/3,power_supply_included,metadata/part_number,supported_power_supply_form_factors/1,metadata/part_numbers/4,metadata/part_numbers/5,supported_motherboard_form_factors/4,supported_motherboard_form_factors/5,supported_motherboard_form_factors/6,color/2,external_3_5_bays,external_5_25_bays,metadata/part_numbers/6,color/3
Fractal Design Focus 2 ATX Mid Tower Black,Fractal Design,FD-C-FOC2A-07,Focus,,2025-09-08T09:31:13.042Z,ATX,Micro ATX,Mini-ITX,ATX Mid Tower,BLACK,None,Solid,FALSE,2x USB 3.0,405,170,2,2,7,472 x 215 x 451,45.767,14.1096,2x USB 3.0,215,451,472,,,,,,,,,,,,,,,,,,,,,,,,,
Rosewill R379-M Micro ATX Slim Black / Silver w/300 W Power Supply,Rosewill,R379-M,R379-M,,,Micro ATX,Mini-ITX,,Micro ATX Slim Tower,BLACK,300 W,Solid,FALSE,USB 2.0 Type-A,,,1,0,4,401 x 325 x 99,12.902,,,,,,GREY,,,,,,,,,,,,,,,,,,,,,,,,
"Corsair Carbide Series Air 240 Micro ATX Mid Tower White Acrylic Side Panel, USB 3.2 Gen 1 Type-A",Corsair,CC-9011069-WW,Carbide,,,Micro ATX,Mini-ITX,,Micro ATX Mid Tower,WHITE,None,Acrylic,TRUE,USB 3.2 Gen 1 Type-A,330,,3,3,4,320 x 259 x 396,32.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silverstone RVZ03W-ARGB Mini-ITX Desktop White,Silverstone,RVZ03W-ARGB                                                    SST-RVZ03W-ARGB                                                    SST-RVZ03W-ARGB-USA,RVZ03W-ARGB,,2025-09-27T06:53:14.622Z,Mini-ITX,,,Mini ITX Tower,WHITE,None,Solid,FALSE,USB3.0 x 2,330,83,0,4,2,382 x 105 x 364,14.6,8.9287216,USB3.0 x 2,105,382,364,,SST-RVZ03W-ARGB,,,,,,,,,,,,,,,,,,,,,,,
Thermaltake CTE T500 Air ATX Full Tower White Tempered Glass Side Panel,Thermaltake,CA-1X8-00F6WN-00,CTE,,2025-09-22T10:07:38.926Z,ATX,Micro ATX,Mini-ITX,ATX Full Tower,WHITE,None,Tempered Glass,TRUE,USB 3.2 (Gen 2) Type-C x 1                                                  USB 3.0 x 2,385,195,4,0,7,516 x 275 x 615,87.269,34.39,USB 3.2 (Gen 2) Type-C x 1,275,615,516,,,USB 3.0 x 2,,,,,,,,,,,,,,,,,,,,,,
"Phanteks Enthoo Elite ATX Full Tower Black with Tinted Tempered Glass Side Panel and USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A",Phanteks,PH-ES916E_BK,Enthoo,,,ATX,Micro ATX,Mini-ITX,ATX Full Tower,BLACK,None,Tinted Tempered Glass,TRUE,USB 3.2 Gen 2 Type-C                                                    USB 3.2 Gen 1 Type-A,,,6,4,10,615 x 270 x 750,124.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fractal Design Define S ATX Mid Tower Black,Fractal Design,FD-CA-DEF-S-BK,Define,,,ATX,Micro ATX,Mini-ITX,ATX Mid Tower,BLACK,None,Solid,FALSE,USB 3.2 Gen 1 Type-A,450,,3,2,7,533 x 233 x 465,57.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zalman Z9 NEO Plus ATX Mid Tower White / Black Acrylic Side Panel,Zalman,Z9 NEO PLUS WHITE,Z9,,,ATX,Micro ATX,Mini-ITX,ATX Mid Tower,WHITE,None,Acrylic,TRUE,USB 3.2 Gen 1 Type-A                                                    USB 2.0 Type-A,400,,2,2,7,,,,,,,,BLACK,,,,,,,,,,,,,,,,,,,,,,,,
HYTE - Y70 Touch Infinite Dual Chamber ATX Mid Tower Modern Aesthetic Case with Integrated 2.5K IPS Touchscreen - Snow White,HYTE,CS-HYTE-Y70TI-WW,Y70 Touch Infinite,Snow White,2026-01-08T21:03:34.116Z,ATX,Micro ATX,Mini-ITX,ATX Mid Tower,WHITE,None,Tempered Glass,TRUE,USB 3.2 Gen 2 Type-C                                  2x USB 3.2 Gen 1 Type-A,422,180,2,4,7,470 x 320 x 470,70.688,24.91224,1 x USB Type-C 3.2 Gen 2,320,470,470,,CS-HYTE-Y70TTI-WW,2 x USB Type-A 3.2 Gen 1,EATX,TRUE,4,,,,,,,,,,,,,,,,,,,
"SHARKOON REV300 ATX Full Tower Black with Tempered Glass Side Panel and Front Panel USB: USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A, USB 2.0 Type-A",SHARKOON,4044951032129REV300 BlackREV300,REV300,,2025-09-06T05:12:25.249Z,ATX,Micro ATX,Mini-ITX,ATX Full Tower,BLACK,None,Tempered Glass,TRUE,1x Type-C (USB 3.2 Gen 2)                        2x USB 3.0 (Top)                     2x USB 2.0 (Top)  ,345,177,4,5,8,501 x 238 x 550,65.581,22.92808,1x Type-C (USB 3.2 Gen 2),238,550,501,,4.04495E+12,2x USB 3.0 (Top),,,,CJ11312626,2x USB 2.0 (Top) ,,,,,,,,,,,,,,,,,
DAN Cases A4-SFXv4 Mini-ITX Desktop Black,DAN Cases,A4SFXV4-B,A4-SFXv4,,,Mini-ITX,,,Mini ITX Tower,BLACK,None,Solid,FALSE,USB 3.2 Gen 2 Type-C,300,,0,3,2,327 x 112 x 205,7.508,,,,,,,A4-SFX V4 BLACK,,,,,,,,,,,,,,,,,,,,,,,
RIOTORO CR400 ATX Mid Tower Black Acrylic Side Panel USB 3.2 Gen 1 Type-A USB 2.0 Type-A,RIOTORO,CR400,CR400,,,ATX,Micro ATX,Mini-ITX,ATX Mid Tower,BLACK,None,Acrylic,TRUE,USB 3.2 Gen 1 Type-A                                                    USB 2.0 Type-A,300,,2,0,7,487 x 202 x 437,42.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosewill METEOR XR ATX Mid Tower Black Tempered Glass Side Panel,Rosewill,METEOR XR,METEOR,,,ATX,Micro ATX,Mini-ITX,ATX Mid Tower,BLACK,None,Tempered Glass,TRUE,USB 3.2 Gen 1 Type-A,360,,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooler Master CM 690 II ATX Mid Tower Black,Cooler Master,RC-692A-KKN5,CM,,,ATX,Micro ATX,Mini-ITX,ATX Mid Tower,BLACK,None,Solid,FALSE,USB 3.2 Gen 1 Type-A                                                    USB 2.0 Type-A,304,,6,0,7,528 x 213 x 510,57.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
