cores/total,cores/performance,cores/threads,clocks/performance/base,clocks/performance/boost,cache/l2,cache/l3,specifications/integratedGraphics/model,specifications/memory/maxSupport,specifications/tdp,specifications/eccSupport,specifications/includesCooler,specifications/packaging,specifications/lithography,specifications/simultaneousMultithreading,metadata/name,metadata/manufacturer,metadata/series,series,microarchitecture,coreFamily,socket,specifications/memory/types/0,metadata/part_numbers/1,clocks/efficiency/base,clocks/efficiency/boost,specifications/memory/types/1,cores/efficiency,cache/l1,specifications/integratedGraphics/baseClock,specifications/integratedGraphics/boostClock,specifications/integratedGraphics/shaderCount,specifications/memory/channels,metadata/releaseYear,general_product_information/bestbuy_sku,metadata/part_numbers/2,metadata/variant,metadata/last_manually_spec_verified_at,metadata/vendor,metadata/part_numbers/3,metadata/part_numbers/4
6,6,6,3.3,4.5,5,12,Intel HD Graphics P630,64,80,TRUE,FALSE,OEM/Tray,14 nm,FALSE,Intel Xeon E 2126G 3.3 GHz 6-Core LGA1151 OEM/Tray,Intel,Intel Xeon E,Intel Xeon E,Coffee Lake,Coffee Lake,LGA 1151,,,,,,,,,,,,,,,,,,,
8,8,16,3.8,5.3,8,32,AMD Radeon,0,65,TRUE,FALSE,Boxed,5 nm,TRUE,AMD EPYC EPYC 4344P 3.8 GHz 8-Core AM5,AMD,AMD EPYC,AMD EPYC,Zen 4,Raphael,AM5,DDR5,,,,,,,,,,,,,,,,,,
6,6,12,3.6,3.8,5,15,None,0,140,FALSE,FALSE,OEM/Tray,14 nm,TRUE,Intel Core i7 6850K 3.6 GHz 6-Core LGA2011-3 OEM/Tray,Intel,Intel Core i7,Intel Core i7,Broadwell,Broadwell-E,LGA 2011-3,,,,,,,,,,,,,,,,,,,
6,6,12,2.4,3.2,5,15,None,0,85,TRUE,FALSE,OEM/Tray,22 nm,TRUE,Intel Xeon E5 2620 V3 2.4 GHz 6-Core LGA2011-3 OEM/Tray,Intel,Intel Xeon E5,Intel Xeon E5,Haswell,Haswell-EP,LGA 2011-3,,,,,,,,,,,,,,,,,,,
8,8,16,2.7,3.5,2,20,None,0,130,TRUE,FALSE,Boxed,32 nm,TRUE,Intel Xeon E5 2680 2.7 GHz 8-Core LGA2011,Intel,Intel Xeon E5,Intel Xeon E5,Sandy Bridge,Sandy Bridge-EP,LGA 2011,,,,,,,,,,,,,,,,,,,
4,4,4,3.1,3.8,2,0,AMD Radeon R7 (on-die),0,35,FALSE,TRUE,Boxed,28 nm,FALSE,AMD A-Series A12 9800E 3.1 GHz 4-Core AM4,AMD,AMD A12,AMD A12,Excavator,Bristol Ridge,AM4,DDR4,B961023,,,,,,,,,,,,,,,,,
8,8,16,3,3.5,2,20,None,64,140,FALSE,FALSE,Boxed,22 nm,TRUE,Intel Core i7 Extreme 5960X 3 GHz 8-Core LGA2011-3,Intel,Intel Core i7 Extreme,Intel Core i7 Extreme,Haswell,Haswell-E,LGA 2011-3,,,,,,,,,,,,,,,,,,,
4,4,4,3.4,3.8,4,0,AMD Radeon R7 (on-die),0,95,FALSE,TRUE,Boxed,28 nm,FALSE,AMD A10 A10-7700K 3.4 GHz 4-Core FM2+,AMD,AMD A10,AMD A10,Steamroller,Kaveri,FM2+,,,,,,,,,,,,,,,,,,,
14,,20,1.7,4.8,20,24,Intel UHD Graphics 770,192,35,TRUE,FALSE,OEM/Tray,7 nm,TRUE,Intel Core i5 14500T 1.7 GHz 14-Core LGA1700 OEM/Tray,Intel,Intel Core i5,Intel Core i5,Raptor Lake Refresh,Raptor Lake Refresh,LGA 1700,DDR5,,1.2,3.4,DDR4,,,,,,,,,,,,,,
12,12,24,3.5,4.5,12,19.25,None,128,165,FALSE,FALSE,,14 nm,TRUE,Intel Core i9-9920X,,,Intel Core i9,Skylake-X,Skylake-X,LGA 2066,DDR4,,,,,0,,,,,4,2018,,,,,,,
2,2,2,4,4.2,1,0,AMD Radeon HD 8000 Series,0,65,FALSE,FALSE,OEM/Tray,32 nm,FALSE,AMD A6 A6 6420K 4 GHz 2-Core FM2 OEM/Tray,AMD,AMD A6,AMD A6,Piledriver,Richland,FM2,,,,,,,,,,,,,,,,,,,
2,2,2,3.5,0,0,2,Intel UHD Graphics 610,128,58,FALSE,FALSE,OEM/Tray,14 nm,FALSE,Intel Celeron Processor G5920,,,Intel Celeron Processor G Series,Comet Lake,,LGA 1200,DDR4,,,,,,,350,1050,0,2,2020,,,,,,,
10,10,20,3.6,5.2,5,20,Intel UHD Graphics 630,128,125,FALSE,FALSE,Boxed,14 nm,TRUE,Intel Core i9 10850K 3.6 GHz 10-Core LGA1200,Intel,Intel Core i9,Intel Core i9,Comet Lake,Comet Lake,LGA 1200,,,,,,,,,,,,,6428160,,,,,,
8,8,16,3.8,4.5,8,5,None,128,165,FALSE,FALSE,Boxed,14 nm,TRUE,Intel Core i7 9800X 3.8 GHz 8-Core LGA2066,Intel,Intel Core i7,Intel Core i7,Skylake,Skylake-X,LGA 2066,,,,,,,,,,,,,,,,,,,
4,4,4,3,3.5,2,0,AMD Radeon R7 (on-die),0,35,FALSE,TRUE,Boxed,28 nm,FALSE,AMD A-Series A10 9700E 3 GHz 4-Core AM4,AMD,AMD A10,AMD A10,Excavator,Bristol Ridge,AM4,DDR4,B961021,,,,,,,,,,,,,,,,,
10,10,20,3,3.5,5,25,None,0,140,FALSE,FALSE,Boxed,14 nm,TRUE,Intel Core i7 Extreme 6950X 3.0 GHz 10-Core LGA2011-3,Intel,Intel Core i7 Extreme,Intel Core i7 Extreme,Broadwell,Broadwell-E,LGA 2011-3,,,,,,,,,,,,,,,,,,,
6,6,12,3.8,4.4,3,32,None,128,95,FALSE,TRUE,Boxed,7 nm,TRUE,AMD Ryzen 5 3600X 3.8 GHz 6-Core AM4,AMD,AMD Ryzen 5,AMD Ryzen 5,Zen 2,Matisse,AM4,DDR4,Ryzen 5 3600X,,,,,,,,,,,6356644,,,,,,
4,4,8,3.5,3.9,1,8,Intel HD Graphics 4600,0,84,FALSE,TRUE,Boxed,22 nm,TRUE,Intel Core i7 4771 3.5 GHz 4-Core LGA1150,Intel,Intel Core i7,Intel Core i7,Haswell,Haswell,LGA 1150,,,,,,,,,,,,,,,,,,,
14,14,28,3.1,4.4,14,25,None,128,165,FALSE,FALSE,Boxed,14 nm,TRUE,Intel Core i9 7940X 3.1 GHz 14-Core LGA2066,Intel,Intel Core i9,Intel Core i9,Skylake,Skylake-X,LGA 2066,,,,,,,,,,,,,,,,,,,
14,14,28,2,3.2,5,35,None,0,105,TRUE,FALSE,Boxed,14 nm,TRUE,Intel Xeon E5 2660 V4 2 GHz 14-Core LGA2011-3,Intel,Intel Xeon E5,Intel Xeon E5,Broadwell,Broadwell-EP,LGA 2011-3,,,,,,,,,,,,,,,,,,,
4,4,4,2.2,2.8,1,6,Intel HD Graphics 530,64,35,FALSE,FALSE,OEM/Tray,14 nm,FALSE,Intel Core i5 6400T 2.2 GHz 4-Core LGA1151 OEM/Tray,Intel,Intel Core i5,Intel Core i5,Skylake,Skylake-S,LGA 1151,,,,,,,,,,,,,,,,,,,
24,,32,1.1,5.3,32,36,Intel UHD Graphics 770,192,35,TRUE,FALSE,OEM/Tray,10 nm,TRUE,Intel Core i9 13900T 1.1 GHz 24-Core LGA1700 OEM/Tray,Intel,Intel Core i9,Intel Core i9,Raptor Lake,Raptor Lake,LGA 1700,DDR5,,0.8,3.9,DDR4,,,,,,,,,,,,,,
4,4,8,3.7,4.1,1,8,Intel HD Graphics P630,64,73,TRUE,FALSE,OEM/Tray,14 nm,TRUE,Intel Xeon E3 1245 V6 3.7 GHz 4-Core LGA1151 OEM/Tray,Intel,Intel Xeon E3,Intel Xeon E3,Kaby Lake,Kaby Lake-S,LGA 1151,,,,,,,,,,,,,,,,,,,
10,10,20,3.3,4.5,10,75,None,128,140,FALSE,FALSE,OEM/Tray,14 nm,TRUE,Intel Core i9 7900X 3.3 GHz 10-Core LGA2066 OEM/Tray,Intel,Intel Core i9,Intel Core i9,Skylake,Skylake-X,LGA 2066,,,,,,,,,,,,,,,,,,,
8,8,16,2.1,4.4,2,16,Intel UHD Graphics 630,128,35,FALSE,FALSE,OEM/Tray,14 nm,TRUE,Intel Core i9 9900T 2.1 GHz 8-Core LGA1151,Intel,Intel Core i9,Intel Core i9,Coffee Lake Refresh,Coffee Lake Refresh,LGA 1151,,,,,,,,,,,,,,,,,,,
10,10,20,3.7,5.3,5,20,None,128,125,FALSE,FALSE,Boxed,14 nm,TRUE,Intel Core i9 10900KF 3.7 GHz 10-Core LGA1200,Intel,Intel Core i9,Intel Core i9,Comet Lake,Comet Lake,LGA 1200,,i9-10900KF,,,,,,,,,,,,,,,,,
4,4,4,3.8,4.2,2,0,AMD Radeon R7 (on-die),0,65,FALSE,TRUE,Boxed,28 nm,FALSE,AMD A-Series A12 9800 3.8 GHz 4-Core AM4,AMD,AMD A12,AMD A12,Excavator,Bristol Ridge,AM4,DDR4,,,,,,,,,,,,,,,,,,
4,4,4,3.4,3.8,1,6,Intel HD Graphics 630,64,65,FALSE,FALSE,OEM/Tray,14 nm,FALSE,Intel Core i5 7500 OEM/Tray 3.4 GHz 4-Core LGA1151,Intel,Intel Core i5,Intel Core i5,Kaby Lake,Kaby Lake-S,LGA 1151,,,,,,,,,,,,,,,,,,,
2,2,2,3.8,4,1,0,AMD Radeon R5 (on-die),0,65,FALSE,TRUE,Boxed,28 nm,FALSE,AMD A6 A6-9550 3.8 GHz 2-Core AM4,AMD,AMD A6,AMD A6,Excavator,Bristol Ridge,AM4,DDR4,,,,,,,,,,,,,,,,,,
4,4,4,3.5,3.9,1,6,Intel HD Graphics 4600,0,88,FALSE,TRUE,Boxed,22 nm,FALSE,Intel Core i5 4690K 3.5 GHz 4-Core LGA1150,Intel,Intel Core i5,Intel Core i5,Haswell Refresh,Haswell Refresh,LGA 1150,,,,,,,,,,,,,,,,,,,
8,8,8,3.4,4.3,8,8,None,0,95,FALSE,FALSE,OEM/Tray,32 nm,FALSE,AMD FX FX-8310 3.4 GHz 8-Core AM3+ OEM/Tray,AMD,AMD FX,AMD FX,Piledriver,Vishera,AM3+,,,,,,,,,,,,,,,,,,,
4,4,8,2.9,3.8,1,8,Intel HD Graphics 630,64,35,FALSE,TRUE,Boxed,14 nm,TRUE,Intel Core i7 7700T 2.9 GHz 4-Core LGA1151,Intel,Intel Core i7,Intel Core i7,Kaby Lake,Kaby Lake-S,LGA 1151,,,,,,,,,,,,,,,,,,,
4,4,4,3.6,4.2,1,6,None,64,65,TRUE,TRUE,Boxed,14 nm,FALSE,Intel Core i3 9100F 3.6 GHz 4-Core LGA1151,Intel,Intel Core i3,Intel Core i3,Coffee Lake Refresh,Coffee Lake Refresh,LGA 1151,,i3-9100F,,,,,,,,,,,,BX80684I39100F,,,,,
32,,64,4,5.4,32,128,,,350,TRUE,FALSE,Boxed,"TSMC 4nm FinFET, TSMC 6nm FinFET",TRUE,AMD Ryzen Threadripper 9970X,AMD, Ryzen Threadripper 9000 Series,AMD Ryzen Threadripper 9000 Series,Zen 5,Shimada Peak,sTR5,DDR5,100-000001594WOF,,,,,2560 KB,,,,4,,6644816,100-100001594WOF,9970X,,,,
6,6,6,1.8,3.4,5,9,Intel UHD Graphics 630,128,35,FALSE,FALSE,OEM/Tray,14 nm,FALSE,Intel Core i5 9400T 1.8 GHz 6-Core LGA1151 (OEM/Tray),Intel,Intel Core i5,Intel Core i5,Coffee Lake Refresh,Coffee Lake Refresh,LGA 1151,,,,,,,,,,,,,,,,,,,
10,10,20,2.8,5.2,5,20,Intel UHD Graphics 630,128,65,FALSE,TRUE,Boxed,14 nm,TRUE,Intel Core i9 10900 2.8 GHz 10-Core LGA1200,Intel,Intel Core i9,Intel Core i9,Comet Lake,Comet Lake,LGA 1200,,,,,,,,,,,,,6411491,,,,,,
2,2,2,3.5,3.9,1,0,AMD Radeon R5 (on-die),0,65,FALSE,FALSE,OEM/Tray,28 nm,FALSE,AMD Pro A6 7400B 3.5 GHz 2-Core FM2+ OEM/Tray,AMD,AMD A6,AMD A6,Steamroller,Kaveri,FM2+,,,,,,,,,,,,,,,,,,,
4,4,8,4,4.9,1,8,Intel HD Graphics P630,128,83,TRUE,FALSE,OEM/Tray,14 nm,TRUE,Intel Xeon E 2274G 4 GHz 4-Core LGA1151 OEM/Tray,Intel,Intel Xeon E,Intel Xeon E,Coffee Lake Refresh,Coffee Lake Refresh,LGA 1151,,,,,,,,,,,,,,,,,,,
10,10,20,3,3.5,5,25,None,0,140,FALSE,FALSE,Boxed,14 nm,TRUE,Intel Core i7 Extreme 6950X 3 GHz 10-Core LGA2011-3,Intel,Intel Core i7 Extreme,Intel Core i7 Extreme,Broadwell,Broadwell-E,LGA 2011-3,,,,,,,,,,,,,,,,,,,
10,,10,3.3,4.9,22,20,None,256,65,FALSE,TRUE,Boxed,3 nm,FALSE,Intel Core Ultra 5 225F 3.3 GHz 10-Core LGA1851,Intel,Intel Core Ultra 5,Intel Core Ultra 5,Arrow Lake,Arrow Lake,LGA 1851,DDR5,,2.7,4.4,,,,,,,,,,,,,,,
6,6,12,3.5,3.8,5,15,None,0,140,TRUE,FALSE,Boxed,22 nm,TRUE,Intel Xeon E5 1650 V3 3.5 GHz 6-Core LGA2011-3,Intel,Intel Xeon E5,Intel Xeon E5,Haswell,Haswell-EP,LGA 2011-3,,,,,,,,,,,,,,,,,,,
4,4,8,3.4,3.8,1,8,None,0,80,TRUE,TRUE,Boxed,22 nm,TRUE,Intel Xeon E3 1231 V3 3.4 GHz 4-Core LGA1150,Intel,Intel Xeon E3,Intel Xeon E3,Haswell Refresh,Haswell Refresh,LGA 1150,,FBA_1357338,,,,,,,,,,,,,,,,,
12,12,24,3.6,5.4,12,64,AMD Radeon,128,65,TRUE,TRUE,Boxed,5 nm,TRUE,AMD Ryzen 9 7900 3.6 GHz 12-Core AM5,AMD,AMD Ryzen 9,AMD Ryzen 9,Zen 4,Raphael,AM5,DDR5,100-00000590BOX,,,,,,,,,,,6530446,,,,,,
6,6,12,3.5,3.8,5,25,None,0,130,TRUE,FALSE,OEM/Tray,22 nm,TRUE,Intel Xeon E5 E5-2643 V2 3.5 GHz 6-Core LGA2011 OEM/Tray,Intel,Intel Xeon E5,Intel Xeon E5,Ivy Bridge,Ivy Bridge-EP,LGA 2011,,,,,,,,,,,,,,,,,,,
2,2,2,3.5,3.9,1,0,AMD Radeon R5 (on-die),0,65,FALSE,FALSE,OEM/Tray,28 nm,FALSE,AMD A 6 7400K 3.5 GHz 2-Core FM2+ OEM/Tray,AMD,AMD A6,AMD A6,Steamroller,Kaveri,FM2+,,,,,,,,,,,,,,,,,,,
6,6,12,3.6,4.2,3,99,None,64,95,FALSE,TRUE,Boxed,12 nm,TRUE,AMD Ryzen 5 2600X 3.6 GHz 6-Core AM4,AMD,AMD Ryzen 5,AMD Ryzen 5,Zen+,Pinnacle Ridge,AM4,DDR4,,,,,,,,,,,,,,,,,,
6,6,6,2.2,3.7,5,9,Intel UHD Graphics 630,128,35,FALSE,FALSE,OEM/Tray,14 nm,FALSE,Intel Core i5 9500T 2.2 GHz 6-Core LGA1151,Intel,Intel Core i5,Intel Core i5,Coffee Lake Refresh,Coffee Lake Refresh,LGA 1151,,,,,,,,,,,,,,,,,,,
16,16,32,3.5,4.7,8,64,None,128,105,FALSE,FALSE,Boxed,7 nm,TRUE,AMD Ryzen 9 3950X 3.5 GHz 16-Core AM4,AMD,AMD Ryzen 9,AMD Ryzen 9,Zen 2,Matisse,AM4,DDR4,AMD Ryzen 9 3950X,,,,,,,,,,,6391901,,,,,,
4,4,8,3.4,4,1,8,Intel HD Graphics 530,64,65,FALSE,FALSE,OEM/Tray,14 nm,TRUE,Intel Core i7 6700 3.4 GHz 4-Core LGA1151,Intel,Intel Core i7,Intel Core i7,Skylake,Skylake-S,LGA 1151,,,,,,,,,,,,,,,,,,,
12,,24,4.7,5.4,12,64,,,350,TRUE,FALSE,Boxed,"TSMC 4nm FinFET, TSMC 6nm FinFET",TRUE,AMD Ryzen Threadripper PRO 9945WX,AMD,AMD Ryzen Threadripper PRO 9000 WX-Series,AMD Ryzen Threadripper PRO 9000 WX-Series,Zen 5,Shimada Peak,sTR5,DDR5,,,,,,960 KB,,,,,,,,PRO 9945WX,,,,
16,,24,1.4,4.9,24,30,None,192,35,TRUE,FALSE,OEM/Tray,10 nm,TRUE,Intel Core i7 13700T OEM/Tray 1.4 GHz 16-Core LGA1700,Intel,Intel Core i7,Intel Core i7,Raptor Lake,Raptor Lake,LGA 1700,DDR5,BX8071513700,1,3.6,DDR4,,,,,,,,,,,,,,
4,4,8,3.8,4.7,1,8,Intel HD Graphics P630,64,71,TRUE,FALSE,Boxed,14 nm,TRUE,Intel Xeon E 2174G 3.8 GHz 4-Core LGA1151,Intel,Intel Xeon E,Intel Xeon E,Coffee Lake,Coffee Lake,LGA 1151,,,,,,,,,,,,,,,,,,,
10,10,20,2.6,3.3,5,25,None,0,105,TRUE,FALSE,Boxed,22 nm,TRUE,Intel Xeon E5 2660 V3 2.6 GHz 10-Core LGA2011-3,Intel,Intel Xeon E5,Intel Xeon E5,Haswell,Haswell-EP,LGA 2011-3,,SR1XR,,,,,,,,,,,,,,2025-07-28T23:24:55.122Z,,,
8,8,16,2.9,4.8,2,16,None,128,65,FALSE,TRUE,Boxed,14 nm,TRUE,Intel Core i7 10700F 2.9 GHz 8-Core LGA1200,Intel,Intel Core i7,Intel Core i7,Comet Lake,Comet Lake,LGA 1200,,,,,,,,,,,,,,,,,,,
4,4,8,3.9,4.2,1,8,None,64,72,TRUE,FALSE,OEM/Tray,14 nm,TRUE,Intel Xeon E3 1280 V6 3.9 GHz 4-Core LGA1151,Intel,Intel Xeon E3,Intel Xeon E3,Kaby Lake,Kaby Lake-S,LGA 1151,,,,,,,,,,,,,,,,,,,
4,4,8,4.1,4.5,1,8,Intel HD Graphics 630,64,79,TRUE,FALSE,OEM/Tray,14 nm,TRUE,Intel Xeon E3 1285 V6 4.1 GHz 4-Core LGA1151 OEM/Tray,Intel,Intel Xeon E3,Intel Xeon E3,Kaby Lake,Kaby Lake-S,LGA 1151,,,,,,,,,,,,,,,,,,,
4,4,8,3.8,4.2,1,8,None,64,72,TRUE,TRUE,Boxed,14 nm,TRUE,Intel Xeon E3 1270 V6 3.8 GHz 4-Core LGA1151,Intel,Intel Xeon E3,Intel Xeon E3,Kaby Lake,Kaby Lake-S,LGA 1151,,,,,,,,,,,,,,,,,,,
8,8,16,3.4,3.8,4,16,None,0,95,FALSE,TRUE,Boxed,14 nm,TRUE,AMD Ryzen 7 1700X 3.4 GHz 8-Core AM4,AMD,AMD Ryzen 7,AMD Ryzen 7,Zen,Summit Ridge,AM4,DDR4,,,,,,,,,,,,,,,,,,
6,6,6,3,4.1,5,9,Intel UHD Graphics 630,128,65,FALSE,TRUE,Boxed,14 nm,FALSE,Intel Core i5 8500 3 GHz 6-Core LGA1151,Intel,Intel Core i5,Intel Core i5,Coffee Lake,Coffee Lake,LGA 1151,,CI-I5-8500,,,,,,,,,,,,,,,,,
6,6,12,3.6,4,5,15,None,0,130,FALSE,FALSE,Boxed,22 nm,TRUE,Intel Core i7 Extreme 4960X 3.6 GHz 6-Core LGA2011,Intel,Intel Core i7 Extreme,Intel Core i7 Extreme,Ivy Bridge,Ivy Bridge-E,LGA 2011,,,,,,,,,,,,,,,,,,,
6,6,12,4,4.5,6,96,AMD Radeon,128,65,TRUE,FALSE,,5nm,TRUE,AMD Ryzen 5 7500X3D 4 GHz 6-Core AM5,AMD,AMD Ryzen 5,AMD Ryzen 5,Zen 4,Raphael,AM5,DDR5,,,,,,384 KB,,,,,2025,,,,,,,
32,32,64,3,4.2,16,64,None,1024,250,TRUE,FALSE,OEM/Tray,12 nm,TRUE,AMD Threadripper Threadripper 2990WX 3 GHz 32-Core sTR4 OEM/Tray,AMD,AMD Threadripper,AMD Threadripper,Zen+,Colfax,TR4,,,,,,,,,,,,,,,,,,,
