metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/part_numbers/1,metadata/part_numbers/2,metadata/part_numbers/3,metadata/part_numbers/4,general_product_information/hyte_sku,metadata/part_numbers/5,metadata/part_numbers/6,metadata/part_numbers/7,metadata/part_numbers/8,metadata/series,metadata/variant,metadata/releaseYear,metadata/last_manually_spec_verified_at,connection_types/0,connection_types/1,ear_pad_material/0,features/0,platforms/0,platforms/1,platforms/2,use_cases/0,use_cases/1,driver_size,frequency_response_low,frequency_response_high,headphone_type,ear_cup_type,weight,has_microphone,microphone_type,frame_material
Razer Tiamat 7.1 V2 7.1 Channel Closed Gaming Headset,Razer,RZ04-02070100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair VOID 7.1 Wired Gaming Headset,Corsair,CA-9011132-NA                                                    CA-9011132-EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panasonic RPHT360 Closed-Back Headphones, Black / Silver",Panasonic,RPHT360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHH4506-28 Closed Earbud With Microphone,PHILIPS,SHH4506-28,SHH4506/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Flux In-Ear Headphones With Microphone,SteelSeries,61331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denon AH-D400 Closed-Back Headphones,DENON,AH-D400,AH-D400EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Siberia 800 7.1 Channel Closed Gaming Headset,SteelSeries,Siberia 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genius Lychas HS G550 Closed-Back Wired Gaming Headset,Genius,31710040101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser M2 IEi Closed In-Ear Headphones with Microphone,Sennheiser,M2 IEi,508691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantronics RIG Closed-Back Headphones,Plantronics,89989-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etymotic Research ER4P Closed In-Ear Headphones,Etymotic Research,ER4P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud Closed-Back Gaming Headset,HP,KHX-H3CLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJE355-W Closed In-Ear Headphones,Panasonic,RP-HJE355-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Barracuda X (2021) 7.1 Channel Closed Headset,Razer,RZ04-03800100-R3U1,RZ04-03800100-R3M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHS3200/37 Closed Earbud With Microphone,Philips,SHS3200,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROP Massdrop Plus Universal Closed-Back In-Ear Headphones,DROP,Universal Plus IEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantronics AUDIO628 Closed Headphones,Plantronics,AUDIO628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR J10 Earbud BLUE,Sony,MDR-J10,BLUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech Pro X Closed-Back Headphones,Logitech G,981-000906                                                    981-000907,981-000906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony DRBTN200B Wireless Closed-Back Headphones,Sony,DRBTN200B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser PX100-II Closed Headphones,Sennheiser,PX100-IIBLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS55 CORE Wireless Gaming Headset,Corsair,CA-9011290-NA                                                    CA-9011290-EU,CA-9011290-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-XB600 Closed Headphones,Sony,MDRXB600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JVC HA-A6T Wireless Earbud Closed-Back With Microphone,JVC,HAA6TW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
