memory/max,memory/ram_type,memory/slots,storage_devices/sata_6_gb_s,storage_devices/sata_3_gb_s,storage_devices/u2,usb_headers/usb_2_0,usb_headers/usb_3_2_gen_1,usb_headers/usb_3_2_gen_2,usb_headers/usb_3_2_gen_2x2,usb_headers/usb_4,audio/chipset,audio/channels,metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/series,metadata/variant,socket,form_factor,chipset,color/0,color/1,pcie_slots/0/gen,pcie_slots/0/quantity,pcie_slots/0/lanes,pcie_slots/0/_id,pcie_slots/1/gen,pcie_slots/1/quantity,pcie_slots/1/lanes,pcie_slots/1/_id,m2_slots/0/size,m2_slots/0/key,m2_slots/0/interface,m2_slots/0/_id,m2_slots/1/size,m2_slots/1/key,m2_slots/1/interface,m2_slots/1/_id,m2_slots/2/size,m2_slots/2/key,m2_slots/2/interface,m2_slots/2/_id,m2_slots/3/size,m2_slots/3/key,m2_slots/3/interface,m2_slots/3/_id,onboard_ethernet/0/speed,onboard_ethernet/0/controller,onboard_ethernet/0/_id,ecc_support,raid_support,back_connect_connectors,bios_features/flashback,bios_features/clear_cmos,bios_features/_id,back_panel_ports/0,metadata/part_numbers/1,metadata/part_number,metadata/releaseYear,back_panel_ports/1,back_panel_ports/2,back_panel_ports/3,back_panel_ports/4,back_panel_ports/5,back_panel_ports/6,back_panel_ports/7,back_panel_ports/8,pcie_slots/2/gen,pcie_slots/2/quantity,pcie_slots/2/lanes,pcie_slots/2/_id,m2_slots/4/size,m2_slots/4/key,m2_slots/4/interface,m2_slots/4/_id,m2_slots/5/size,m2_slots/5/key,m2_slots/5/interface,m2_slots/5/_id,metadata/part_numbers/2,m2_slots/6/size,m2_slots/6/key,m2_slots/6/interface,m2_slots/6/_id,back_panel_ports/9,m2_slots/7/size,m2_slots/7/key,m2_slots/7/interface,m2_slots/7/_id,fan_headers/cpu_fan,fan_headers/case_fan,fan_headers/pump,rgb_headers/argb_5v,rgb_headers/rgb_12v,front_panel_headers/power_button,front_panel_headers/reset_button,front_panel_headers/power_led,front_panel_headers/hdd_led,other_headers/com_port,power_connectors/main_power,power_connectors/cpu_power/0,power_connectors/cpu_power/1,metadata/last_manually_spec_verified_at,wireless_networking,m2_slots/8/size,m2_slots/8/key,m2_slots/8/interface,m2_slots/8/_id,m2_slots/9/size,m2_slots/9/key,m2_slots/9/interface,m2_slots/9/_id,m2_slots/10/size,m2_slots/10/key,m2_slots/10/interface,m2_slots/10/_id,m2_slots/11/size,m2_slots/11/key,m2_slots/11/interface,m2_slots/11/_id,m2_slots/12/size,m2_slots/12/key,m2_slots/12/interface,m2_slots/12/_id,metadata/part_numbers/3,usb_headers/usb_4_80g,back_panel_ports/10,metadata/part_numbers/4,other_headers/thunderbolt,onboard_ethernet/1/speed,onboard_ethernet/1/controller,onboard_ethernet/1/_id,color/2,fan_headers/cpu_opt,other_headers/temperature_sensor,back_panel_ports/11,color/3,back_panel_ports/12,pcie_slots/3/gen,pcie_slots/3/quantity,pcie_slots/3/lanes,pcie_slots/3/_id,general_product_information/ibuypower_sku,power_connectors/cpu_power/2,power_connectors/cpu_power/3,pcie_slots/4/gen,pcie_slots/4/quantity,pcie_slots/4/lanes,pcie_slots/4/_id,metadata/part_numbers/5,back_panel_ports/13,m2_slots/13/size,m2_slots/13/key,m2_slots/13/interface,m2_slots/13/_id,m2_slots/14/size,m2_slots/14/key,m2_slots/14/interface,m2_slots/14/_id
64,DDR4,2,4,0,0,1,1,0,0,0,Realtek,7.1,Asus B760 M-AYW WIFI D4 DDR4 Micro ATX,ASUS,B760M-AYW WIFI D4,B760,,LGA 1700,Micro ATX,Intel B760,GREY,BLACK,4,1,16,67f9ba45865ad0c3553df768,4,2,1,67f9ba45865ad0c3553df769,2242-2260,M,PCIe 4.0 x4,67f9ba45865ad0c3553df76a,2280,M,PCIe 4.0 x4,67f9ba45865ad0c3553df76b,2242-2260,M,PCIe 4.0 x4,67f9ba45865ad0c3553df76c,2280,M,PCIe 4.0 x4,67f9ba45865ad0c3553df76d,2.5 Gb/s,Realtek,67f9ba45865ad0c3553df76e,FALSE,TRUE,FALSE,FALSE,FALSE,67f9ba45865ad0c3553df76f,1 x 2.5 Gb/s (Realtek),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,DDR4,4,6,0,0,2,1,0,0,0,Realtek,7.1,Biostar B560 M-SILVER LGA1200 DDR4 Micro ATX,Biostar,B560M-SILVER,B560,,LGA 1200,Micro ATX,Intel B560,GREY,BLACK,4,2,16,67f9b896865ad0c3553dc757,4,1,1,67f9b896865ad0c3553dc758,2280,M,PCIe 4.0 x4,67f9b896865ad0c3553dc759,2242-2260,M,PCIe 4.0 x4,67f9b896865ad0c3553dc75a,2280,M,PCIe 4.0 x4,67f9b896865ad0c3553dc75b,2280,E,PCIe 4.0 x4,67f9b896865ad0c3553dc75c,2.5 Gb/s,Realtek RTL8125B,67f9b896865ad0c3553dc75d,FALSE,FALSE,FALSE,FALSE,FALSE,67f9b896865ad0c3553dc75e,1 x 2.5 Gb/s (Realtek RTL8125B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,DDR4,2,4,0,0,2,1,0,0,0,Realtek,7.1,ASRock H410 M/ac DDR4 Micro ATX,ASRock,H410M,H410,,LGA 1200,Micro ATX,Intel H410,BLACK,,4,1,16,67f9b9b2865ad0c3553de73a,4,1,1,67f9b9b2865ad0c3553de73b,2260-2280,M,PCIe 4.0 x4,67f9b9b2865ad0c3553de73c,2280,M,PCIe 4.0 x4,67f9b9b2865ad0c3553de73d,,,,,,,,,1 Gb/s,Intel I219-V,67f9b9b2865ad0c3553de73e,FALSE,FALSE,FALSE,FALSE,FALSE,67f9b9b2865ad0c3553de73f,1 x 1 Gb/s (Intel I219-V),ac                                                    90-MXBDT0-A0UAYZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DDR3,1,1,1,0,3,0,0,0,0,Realtek,7.1,ECS H81 H81H3-TI2 LGA1150 DDR3 Thin Mini ITX,ECS,H81H3-TI2,H81,,LGA 1150,Thin Mini-ITX,Intel H81,BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,1 Gb/s,Unknown,67f9b75a865ad0c3553da4f6,FALSE,FALSE,FALSE,FALSE,FALSE,67f9b75a865ad0c3553da4f7,1 x 1 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,DDR4,4,4,0,0,2,2,1,0,0,Realtek ALC1220P-VB2 Codec,7.1,MSI MPG Z390M GAMING EDGE AC LGA 1151 (300 Series) Intel Z390 SATA 6Gb/s Micro ATX Intel Motherboard,MSI,MPG Z390M GAMING EDGE AC,MPG,Z390M GAMING EDGE AC,LGA 1151,Micro ATX,Intel Z390,,,3,2,16,67bba994656a333a9fdf6d96,3,2,1,67bba994656a333a9fdf6d97,2242/2260/2280/22110,M,PCIe 3.0 x4 and SATA 6Gb/s,67bba994656a333a9fdf6d98,2242/2260/2280,M,PCIe 3.0 x4 and SATA 6Gb/s,67bba994656a333a9fdf6d99,,,,,,,,,1 Gb/s,Intel I219-V,67bba994656a333a9fdf6d9a,FALSE,TRUE,FALSE,FALSE,TRUE,67bba994656a333a9fdf6d9b,1 x DisplayPort,,N82E16813144367,2020,1 x HDMI,1 x LAN (RJ45),1 x Optical S/PDIF Out,1 x USB 3.1 Gen 2 Type-A,1 x USB 3.1 Gen 2 Type-C,2 x PS/2,4 x USB 3.1 Gen 1,5 x Audio Jacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,DDR4,4,8,0,0,3,2,0,0,0,Realtek,7.1,Asus Z170 MAXIMUS VIII EXTREME LGA1151 WIFI DDR4 EATX,ASUS,MAXIMUS VIII EXTREME                                                    90MB0LU0-M0EAY0,Z170,,LGA 1151,EATX,Intel Z170,BLACK,RED,4,4,16,67f9b9f1865ad0c3553dee26,4,2,1,67f9b9f1865ad0c3553dee27,2242-2260,M,PCIe 4.0 x4,67f9b9f1865ad0c3553dee28,2280,M,PCIe 4.0 x4,67f9b9f1865ad0c3553dee29,,,,,,,,,1 Gb/s,Unknown,67f9b9f1865ad0c3553dee2a,FALSE,TRUE,FALSE,FALSE,FALSE,67f9b9f1865ad0c3553dee2b,1 x 1 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,DDR5,4,4,0,0,2,1,1,0,0,Realtek,7.1,MSI B650 PRO B650M-A AM5 DDR5 Micro ATX,MSI,PRO B650M-A,B650,,AM5,Micro ATX,AMD B650,BLACK,GREY,4,2,16,67f9ba63865ad0c3553dfa88,4,1,1,67f9ba63865ad0c3553dfa89,2260-2280,M,PCIe 4.0 x4,67f9ba63865ad0c3553dfa8a,2280,M,PCIe 4.0 x4,67f9ba63865ad0c3553dfa8b,2260-2280,M,PCIe 4.0 x4,67f9ba63865ad0c3553dfa8c,2280,M,PCIe 4.0 x4,67f9ba63865ad0c3553dfa8d,2.5 Gb/s,Realtek RTL8125BG,67f9ba63865ad0c3553dfa8e,FALSE,TRUE,FALSE,FALSE,FALSE,67f9ba63865ad0c3553dfa8f,1 x 2.5 Gb/s (Realtek RTL8125BG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,DDR4,4,6,0,0,2,2,0,0,0,Realtek,7.1,Gigabyte Z370 AORUS GAMING WIFI (rev. 1.0) DDR4 ATX,Gigabyte,Z370 AORUS GAMING WIFI (rev. 1.0)                                                    Z370 AORUS GAMING WIFI,Z370,,LGA 1151,ATX,Intel Z370,BLACK,RED,4,3,16,67f9b7d1865ad0c3553db17a,4,3,1,67f9b7d1865ad0c3553db17b,2242-2260,M,PCIe 4.0 x4,67f9b7d1865ad0c3553db17c,2280,M,PCIe 4.0 x4,67f9b7d1865ad0c3553db17d,2242-2260,M,PCIe 4.0 x4,67f9b7d1865ad0c3553db17e,2280,M,PCIe 4.0 x4,67f9b7d1865ad0c3553db17f,1 Gb/s,Unknown,67f9b7d1865ad0c3553db180,FALSE,TRUE,FALSE,FALSE,FALSE,67f9b7d1865ad0c3553db181,1 x 1 Gb/s,Z370 AORUS GAMING WIFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,DDR4,8,0,0,0,2,1,0,0,0,Realtek,7.1,ASRock X99 Extreme4/3.1 DDR4 ATX,ASRock,X99 Extreme4,X99,,LGA 2011-3,ATX,Intel X99,BLACK,BLUE,4,4,16,67f9b6b0865ad0c3553d9247,4,1,1,67f9b6b0865ad0c3553d9248,2230-2242,M,PCIe 4.0 x4,67f9b6b0865ad0c3553d9249,2280,M,PCIe 4.0 x4,67f9b6b0865ad0c3553d924a,,,,,,,,,1 Gb/s,Intel I218-V,67f9b6b0865ad0c3553d924b,FALSE,TRUE,FALSE,FALSE,FALSE,67f9b6b0865ad0c3553d924c,1 x 1 Gb/s Ports (Intel I218-V),3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,DDR4,2,0,0,0,2,1,0,0,0,Realtek,7.1,Gigabyte B450 M S2H DDR4 Micro ATX,Gigabyte,B450M S2H                                                    GA-B450M-S2H,B450,,AM4,Micro ATX,AMD B450,BLACK,,4,1,16,67f9bb89865ad0c3553e1a77,4,2,1,67f9bb89865ad0c3553e1a78,2242-2260,M,PCIe 4.0 x4,67f9bb89865ad0c3553e1a79,2280,M,PCIe 4.0 x4,67f9bb89865ad0c3553e1a7a,,,,,,,,,1 Gb/s,Unknown,67f9bb89865ad0c3553e1a7b,FALSE,TRUE,FALSE,FALSE,FALSE,67f9bb89865ad0c3553e1a7c,1 x 1 Gb/s Ports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
