modules/quantity,modules/capacity_gb,metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/series,metadata/variant,speed,ram_type,form_factor,capacity,color/0,color/1,cas_latency,voltage,ecc,registered,heat_spreader,rgb,timings,metadata/last_manually_spec_verified_at,height,metadata/part_numbers/1,metadata/part_numbers/2,metadata/releaseYear,metadata/part_numbers/3,metadata/part_number,profile_support/0,profile_support/1
2,24,TEAMGROUP T-Create Expert Black / Gold DDR5-6400 CL32 48GB (2x24GB),TEAMGROUP,CTCED548G6400HC32ADC01,T-Create,6400 CL32,6400,DDR5,288-pin DIMM,48,BLACK,GOLD,32,,Non-ECC,Unbuffered,TRUE,FALSE,,,,,,,,,,
2,16,ADATA XPG LANCER RGB Black 32GB (2x16GB) DDR5 5200 CL38,ADATA,AX5U5200C3816G-DCLARBK,XPG Lancer,5200 CL38,5200,DDR5,288-pin DIMM,32,BLACK,,38,1.25,Non-ECC,Unbuffered,TRUE,TRUE,,,,,,,,,,
2,24,G.Skill Ripjaws S5 Black DDR5-6000 CL40 48GB (2x24GB),G.SKILL,F5-6000J4048F24GX2-RS5K,Ripjaws,6000 CL40,6000,DDR5,288-pin DIMM,48,BLACK,,40,,Non-ECC,Unbuffered,TRUE,FALSE,40-48-48-96,,,,,,,,,
2,32,TEAMGROUP Xtreem ARGB White DDR5-6400 CL34 64GB (2x32GB),TEAMGROUP,FFAD564G6400HC34BDC01,Xtreem,6400 CL34,6400,DDR5,288-pin DIMM,64,WHITE,,34,,Non-ECC,Unbuffered,TRUE,TRUE,,,,,,,,,,
2,8,Timetec FBA_75TT160UL1R8-4G Black DDR3-1600 CL11 16GB (2x8GB),Timetec,FBA_75TT160UL1R8-4G,FBA_75TT160UL1R8-4G,1600 CL11,1600,DDR3,240-pin DIMM,16,BLACK,,11,,Non-ECC,Unbuffered,FALSE,FALSE,,,,,,,,,,
2,16,Klevv CRAS V RGB White DDR5-8000 CL38 32GB (2x16GB),Klevv,KD5AGUA80-80D380J,CRAS,8000 CL38,8000,DDR5,288-pin DIMM,32,WHITE,,38,1.45,Non-ECC,Unbuffered,TRUE,TRUE,38-48-48-128,2025-12-04T23:09:10.847Z,44,,,,,,,
2,16,G.Skill Ripjaws S5 Black DDR5-5200 CL40 32GB (2x16GB),G.SKILL,F5-5200J4040A16GX2-RS5K,Ripjaws,5200 CL40,5200,DDR5,288-pin DIMM,32,BLACK,,40,,Non-ECC,Unbuffered,TRUE,FALSE,40-40-40-83,,,,,,,,,
2,4,Corsair Vengeance Black / Blue DDR3-1600 CL9 8GB (2x4GB),Corsair,CMZ8GX3M2A1600C9B,Vengeance,1600 CL9,1600,DDR3,240-pin DIMM,8,BLACK,BLUE,9,,Non-ECC,Unbuffered,TRUE,FALSE,9-9-9-24,,,,,,,,,
2,32,G.Skill Ripjaws Black DDR4-4000 CL18 64GB (2x32GB),G.SKILL,F4-4000C18D-64GVK,Ripjaws,4000 CL18,4000,DDR4,288-pin DIMM,64,BLACK,,18,,Non-ECC,Unbuffered,TRUE,FALSE,18-22-22-42,,,,,,,,,
2,16,Corsair Vengeance White DDR5-6000 CL36 32GB (2x16GB),Corsair,CMK32GX5M2E6000Z36W,Vengeance,6000 CL36,6000,DDR5,288-pin DIMM,32,WHITE,,36,,Non-ECC,Unbuffered,TRUE,FALSE,36-44-44-96,,,,,,,,,
2,8,"TEAMGROUP Team T-Force Dark Za DDR4 Gaming Memory, 2 x 8 GB, 3600 Mhz, 288 Pin DIMM, Black",TEAMGROUP,TDZAD416G3600HC18JDC01,Team T-Force Dark Za,Black,3600,DDR4,288-pin DIMM,16,BLACK,,,,,,,FALSE,,,,,,,,,,
2,32,Corsair Vengeance RGB Black DDR5-6000 CL40 64GB (2x32GB),Corsair,CMH64GX5M2B6000C40,Vengeance,6000 CL40,6000,DDR5,288-pin DIMM,64,BLACK,,40,,Non-ECC,Unbuffered,TRUE,TRUE,40-40-40-77,,,,,,,,,
2,32,TEAMGROUP Elite Plus DDR5-4800 CL40 64GB (2x32GB),TEAMGROUP,TPBD564G4800HC40DC01,Elite,4800 CL40,4800,DDR5,288-pin DIMM,64,BLACK,,40,,Non-ECC,Unbuffered,TRUE,FALSE,40-40-40-77,,,,,,,,,
