metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/part_numbers/1,metadata/series,metadata/variant,capacity,form_factor,interface,nvme,storage_type,type,cache,metadata/releaseYear,metadata/part_numbers/2,metadata/part_numbers/3,metadata/part_numbers/4,metadata/part_numbers/5
MSI SPATIUM M480 HS 1TB SSD M.2-2280 PCIe 4.0 X4 NVMe,MSI,S78-440L430-P83                                                    SPATIUM M480 1TB,S78-440L430-P83,SPATIUM,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
PNY CS2140 2TB SSD M.2-2280 PCIe 4.0 x4 NVMe,PNY,M280CS2140-2TB-RB,,CS2140,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"TEAMGROUP GX1 480GB SSD 2.5"" SATA",TEAMGROUP,T253X1480G0C101,,GX1,480GB,480,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"AMD RADEON-R7SSD-240G 240 GB SSD 2.5"" SATA 6.0 Gb/s",AMD,RADEON-R7SSD-240G,,RADEON-R7SSD-240G,240GB,240,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Crucial P310 1TB SSD M.2 PCIe 4.0 NVMe,Crucial,CT1000P310SSD8,,P310,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Seagate IronWolf Pro 14TB 3.5"" HDD 7200RPM SATA",Seagate,ST14000NE0008,,IronWolf,14000GB,14000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Seagate 1200 800GB SSD 2.5"" SAS 12.0 Gb/s",Seagate,ST800FM0063,ST800FM0053,1200,800GB,800,"2.5""",SAS 12.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Intel D3-S4610 3TB SSD 2.5"" SATA",Intel,SSDSC2KG038T801,,D3-S4610,3000GB,3000,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
SanDisk Extreme 1TB SSD M.2 PCIe 4.0 NVMe,SanDisk,SDSSDX3N-1T00-G26,,Extreme,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Western Digital Blue SN550 500GB SSD M.2 PCIe 3.0 NVMe,Western Digital,WDS500G2B0C,,Blue,500GB,500,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Toshiba HDKCC00 500GB 2.5"" HDD 7200RPM SATA",Toshiba,HDKCC00,,HDKCC00,500GB,500,"2.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"TEAMGROUP T-Force Vulcan Z 512GB SSD 2.5"" SATA",TEAMGROUP,T253TZ512G0C101,,T-Force,512GB,512,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Seagate IronWolf NAS 3TB HDD 3.5"" 5400RPM SATA",Seagate,ST3000VN006,,IronWolf,3000GB,3000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Seagate FireCuda 530R 1TB SSD M.2-2280 PCIe 4.0 X4 NVMe,Seagate,ZP1000GM3A063,7.63649E+11,FireCuda,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Western Digital Red 4TB HDD 5400 RPM 3.5"" SATA",Western Digital,WD40EFRX,,Red,4000GB,4000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Western Digital Scorpio Blue 750 GB HDD 5400RPM 2.5"" SATA",Western Digital,WD7500BPVT,,Scorpio,750GB,750,"2.5""",SATA 3.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Samsung Spinpoint M8 500GB Internal HDD 5400RPM 2.5"" SATA 3.0 Gb/s",Samsung,ST500LM012,,Spinpoint,500GB,500,"2.5""",SATA 3.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Western Digital Blue 500GB HDD 3.5"" 7200RPM SATA",Western Digital,WD5000AZLX,,Blue,500GB,500,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Transcend TS16GSSD500 16 GB SSD 2.5"" SATA 3.0 Gb/s",Transcend,TS16GSSD500,,TS16GSSD500,16GB,16,"2.5""",SATA 3.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Seagate Exos X24 24TB HDD 7200RPM 3.5"" SAS 12.0 Gb/s",Seagate,ST24000NM007H,,Exos,24000GB,24000,"3.5""",SAS 12.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Samsung 850 Pro 256GB SSD 2.5"" SATA 6.0 Gb/s",Samsung,MZ-7KE256BW,BPSCS27759-MZ-7KE256BW,850,256GB,256,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
